run_id,optimizer_algo,environment,avoidance_algo,seed,aggregation_status
msffoa_forest_msffoa_seed1,msffoa,forest,msffoa,1,aggregated
msffoa_forest_msffoa_seed10,msffoa,forest,msffoa,10,aggregated
msffoa_forest_msffoa_seed11,msffoa,forest,msffoa,11,aggregated
msffoa_forest_msffoa_seed12,msffoa,forest,msffoa,12,aggregated
msffoa_forest_msffoa_seed13,msffoa,forest,msffoa,13,aggregated
msffoa_forest_msffoa_seed14,msffoa,forest,msffoa,14,aggregated
msffoa_forest_msffoa_seed15,msffoa,forest,msffoa,15,aggregated
msffoa_forest_msffoa_seed16,msffoa,forest,msffoa,16,aggregated
msffoa_forest_msffoa_seed17,msffoa,forest,msffoa,17,aggregated
msffoa_forest_msffoa_seed18,msffoa,forest,msffoa,18,aggregated
msffoa_forest_msffoa_seed19,msffoa,forest,msffoa,19,aggregated
msffoa_forest_msffoa_seed2,msffoa,forest,msffoa,2,aggregated
msffoa_forest_msffoa_seed20,msffoa,forest,msffoa,20,aggregated
msffoa_forest_msffoa_seed21,msffoa,forest,msffoa,21,aggregated
msffoa_forest_msffoa_seed22,msffoa,forest,msffoa,22,aggregated
msffoa_forest_msffoa_seed23,msffoa,forest,msffoa,23,aggregated
msffoa_forest_msffoa_seed24,msffoa,forest,msffoa,24,aggregated
msffoa_forest_msffoa_seed25,msffoa,forest,msffoa,25,aggregated
msffoa_forest_msffoa_seed26,msffoa,forest,msffoa,26,aggregated
msffoa_forest_msffoa_seed27,msffoa,forest,msffoa,27,aggregated
msffoa_forest_msffoa_seed28,msffoa,forest,msffoa,28,aggregated
msffoa_forest_msffoa_seed29,msffoa,forest,msffoa,29,aggregated
msffoa_forest_msffoa_seed3,msffoa,forest,msffoa,3,aggregated
msffoa_forest_msffoa_seed30,msffoa,forest,msffoa,30,aggregated
msffoa_forest_msffoa_seed4,msffoa,forest,msffoa,4,aggregated
msffoa_forest_msffoa_seed5,msffoa,forest,msffoa,5,aggregated
msffoa_forest_msffoa_seed6,msffoa,forest,msffoa,6,aggregated
msffoa_forest_msffoa_seed7,msffoa,forest,msffoa,7,aggregated
msffoa_forest_msffoa_seed8,msffoa,forest,msffoa,8,aggregated
msffoa_forest_msffoa_seed9,msffoa,forest,msffoa,9,aggregated
msffoa_urban_msffoa_seed1,msffoa,urban,msffoa,1,aggregated
msffoa_urban_msffoa_seed10,msffoa,urban,msffoa,10,aggregated
msffoa_urban_msffoa_seed11,msffoa,urban,msffoa,11,aggregated
msffoa_urban_msffoa_seed12,msffoa,urban,msffoa,12,aggregated
msffoa_urban_msffoa_seed13,msffoa,urban,msffoa,13,aggregated
msffoa_urban_msffoa_seed14,msffoa,urban,msffoa,14,aggregated
msffoa_urban_msffoa_seed15,msffoa,urban,msffoa,15,aggregated
msffoa_urban_msffoa_seed16,msffoa,urban,msffoa,16,aggregated
msffoa_urban_msffoa_seed17,msffoa,urban,msffoa,17,aggregated
msffoa_urban_msffoa_seed18,msffoa,urban,msffoa,18,aggregated
